Name (title),Sector (subtitle),Adress,Email,Description
Alpinistes accès services,Bâtiment - Contrôle & audit - Hygiène & sécurité - Industrie - Maintenance & Nettoyage,"10, rue Aristide Briand - 95840 VILLIERS ADAM",contact@a-a-s.fr,"Avec 30 ans d’expérience dans les travaux en accès difficiles, l’ensemble de nos chefs d’équipes sont diplômés technicien cordiste (CQP2), avec un savoir-faire et des compétences professionnelles afin de répondre à l’ensemble de vos besoins."
Alpiroc,Bâtiment - Industrie - Sécurité,"10, parc club millénaire - 1025, avenue Henri BECQ - 34000 MONTPELLIER",info@alpiroc.fr,"ALPIROC est une entreprise spécialisée dans les travaux sur cordes, en hauteur et en accès difficile. Notre implantation géographique nous permet d’accompagner un grand nombre de nos clients à Montpellier et ses alentours."
Altela,,ZI Lasgarrènes 65600 SEMEAC,contact@altela.com,"ALTELA est un acteur majeur dans la distribution des filets pour le bâtiment, le sport, l’industrie et l’environnement depuis 1990. ALTELA utilise uniquement des matières premières de qualité haute ténacité. Grâce à notre parc de machines ultra modernes, nous vous fournissons des filets de qualité supérieure."
Alticlean,Aéroportuaire - Hospitalier - Industrie - Services - Transport,"45, rue d’Annonay - 43190 TENCE",jcarvalho@alticlean.fr,"Sur le grand quart sud-est de la France de Dijon à Nice ; Nettoyage et entretien vitrerie, façades et toitures ; Pose de filets de sécurité chute de personnes et d’objets ; Sécurisation de toitures ; Pose de pics anti-volatiles ; Petits travaux (maçonnerie, peinture, étanchéité… difficiles d’accès)."
Altitech,Bâtiment - Eolienne - Génie civil - Industrie - Maintenance & Nettoyage - Pylône - Sécurité,"997, chemin de la Bruyère - 01390 TRAMOYES",contact@altitech.fr,"Installée depuis octobre 1986, ALTITECH œuvre depuis de nombreuses années dans le monde des travaux à Grande Hauteur."
ALTITUDE 44,,41 La Touche Basse - 44260 LA CHAPELLE-LAUNAY,altlantique@altitude44.fr,"ALTITUDE 44, spécialiste des travaux d'accès difficiles, met aux services de ses clients, depuis 2009, ses conseils, savoir-faire et professionnalisme. Son action de qualité et en toute sécurité, couplée à la fiabilité de ses interventions, draine la satisfaction de ses partenaires !"
Altitude construction,,"715, rue des Granges - 74190 PASSY",contact@altitude-construction.com,"Un large spectre d’intervention en accès difficiles, confortement et montagne : confortements de falaise et de talus, filets hautes énergies pare-blocs, travaux spéciaux (paroi clouée, micropieux…), charpente métallique en accès difficiles, réalisation de Paravalanches, travaux de Minages, réalisation de passerelles souple type himalayenne."
Antecime,Bâtiment - Couverture - Maçonnerie - Sécurité,"19, rue Henri Barbusse - 94110 ARCUEIL",contact@antecime.fr,"Travaux d'accès difficiles spécialisé dans le bâtiment : plomberie, entretien, protection collectives..."
Apic,Bâtiment - Contrôle & audit,"12 Ter, rue de Paris - 92190 MEUDON",contact@apic-sa.fr,"APIC est un acteur majeur depuis 1996 dans les travaux en accès difficile aussi bien sur corde que sur Nacelles, et ce pour l’entretien & la maintenance des bâtiments & infrastructures quelle qu’ils soient (Immeuble d’habitation, de bureaux, locaux industriels, viaduc, église, etc.). "
Aplomb Travaux d’accès difficile,Bâtiment - Couverture - Événementiel - Ligne de vie - Maçonnerie - Maintenance & Nettoyage - Peinture,"21, rue Honoré d’Estienne d’Orves - 92150 SURESNES",contact@aplomb.fr,"Tous travaux, prestations et activités de construction spécialisés nécessitant la mise en œuvre de techniques, de matériels et de compétences relevant, en autres, de l’accès difficile et/ou en hauteur."
